18,24,30,32,35,39,50,56,62,75,271116,139,676,271827,750,797,798,799,800,803,805,818,821,833,841,849,852,73422,854,855,73429,859,860,861,863,869,873,891,906,909,916,928,999,1027,1045,73544,1131,200831,1132,1254,201154,1317,1359,1412,1439,1567,1569,1570,1571,1593,1599,65330,1627,1653,1654,1656,1662,1723,1805,1810,1811,1816,64197,1833,1904,1905,1929,1937,1956,1957,2027,2050,2065,2078,2124,2143,2147,2170,2172,201897,2292,2307,2321,2348,2389,2471,2472,202078,64200,2476,2481,2496,2501,2514,2517,2542,74231,2566,2575,2582,2584,2590,202235,2704,2710,2711,2712,2726,2833,2850,2854,2872,276993,3055,3099,3103,3104,3111,3120,3131,3134,3142,277299,277306,3157,202564,3168,3170,3173,3174,3176,3177,3183,3184,3192,74490,3220,3239,3240,3289,277805,277806,74652,277954,3427,3433,278024,278265,278266,278267,278269,278271,278274,3515,3565,3652,3680,3691,3699,3711,278603,65562,3738,279193,203304,64225,3930,3931,3932,65583,3936,279250,279251,3944,3948,102476,203384,4036,4043,4045,4128,280190,280191,4169,4185,4187,280423,4208,4236,4237,280512,75084,75099,4324,4328,4337,4341,4357,4401,4403,4404,4407,4408,4417,4418,4420,4421,4428,4443,4447,204160,204178,4489,4491,4498,280982,4505,281024,4614,4626,4634,281804,4699,4901,75335,5045,5093,5098,5099,64238,64239,5102,5104,204557,5108,5109,5134,5155,5172,5176,5187,5208,5235,5247,5251,5257,5392,5395,5484,75533,5485,5498,5502,5505,5509,5512,5513,5514,5531,5540,205212,5693,5703,5707,5773,64247,5823,5826,5839,205686,5867,205894,205895,6006,284465,284466,284470,102515,6091,6116,6119,75970,6142,6152,6161,206011,6192,6215,284558,284559,284561,206062,6328,6335,6342,6460,76094,6471,6898,76308,6902,6903,285435,285439,285442,285459,285467,206730,285682,285684,285688,6962,285805,285809,102570,76381,7061,7173,76486,7193,7215,65989,7218,7224,7226,101796,7230,286432,7285,7319,7339,7341,7352,7355,7356,7358,7359,7360,7364,208902,66015,7387,7391,7395,7402,7413,7415,7479,287112,7523,287284,287319,287321,209178,209186,209195,7615,7619,66067,7655,7658,7725,7875,7878,7905,7943,288182,8119,8120,209652,288414,288415,288419,288424,288427,288432,288433,288435,288437,288438,288439,288440,288441,288443,288444,102597,102598,288450,8251,8255,8256,8257,8262,76865,8360,8404,8415,8426,8427,8428,8431,8433,8435,8437,8440,8453,8455,8459,8460,8468,8493,8500,8517,8518,8520,8525,8526,8527,8529,8537,8543,8548,8563,102607,288814,8595,66132,288976,288986,289028,289033,289034,289037,289042,289043,289046,289049,289056,289058,289061,289065,289068,289070,289072,289084,289087,289089,289137,289140,8761,8778,8792,8952,289749,289751,289752,8964,9006,77140,9080,9138,9215,9276,9328,210700,9484,9492,9506,9519,291205,291208,291216,291217,291214,9595,9597,9601,9615,9621,9622,77376,9768,9775,291779,291783,291789,9842,9843,292000,9860,9864,9866,211276,64284,9951,9953,9962,9967,9970,9980,10014,292529,292531,292534,292608,292611,292612,292614,64287,10111,10107,10108,77602,10240,10284,64290,10286,66352,10288,77654,10293,10295,10296,77666,211588,211590,10300,64292,10304,10331,10343,77711,66365,64295,10359,10364,10365,77728,10369,64298,77733,10373,64300,64302,77742,10392,10397,10399,77755,10402,211693,77759,10407,77762,10408,10410,10411,10413,77769,64305,64307,10426,10432,10441,10442,293476,10448,77781,211722,10460,10461,10462,10464,77791,10481,10483,77800,10485,66390,10497,77809,77810,211743,77811,10504,211749,77818,10508,10509,10525,10526,10531,10534,10535,10537,10538,10539,77834,10543,10546,10552,10553,10556,211772,10559,10567,10569,10571,211788,66400,10583,211794,77869,10587,211800,10601,10604,10608,77880,10611,66404,10613,10614,10622,77885,10627,77889,77890,77891,10628,10632,66407,10643,66408,10646,10647,211840,10653,10654,10655,64331,64332,10664,10667,10668,10669,66410,10675,10677,77924,10682,10685,10688,77934,64338,64339,64340,10690,10692,10696,10700,10702,10705,10773,10774,10804,10820,10827,10829,10834,10839,11035,11037,11063,11068,11095,11139,11143,11148,212258,11152,11189,11199,212464,11246,11287,11306,11329,11381,11383,11384,11403,11407,11497,11535,11569,78282,11583,11589,11593,11598,11626,11635,11640,11648,11669,11719,11765,295843,295867,11771,11781,11783,212893,11800,11806,296009,11831,11849,11853,11877,11928,11983,11985,11986,12027,213440,12100,12151,12153,78642,78643,297000,297002,12159,12169,12182,12189,12238,297106,297108,12264,12265,66607,12643,12745,12906,12917,12921,12922,12923,298024,12937,12939,13005,13016,13019,13026,214344,13035,13046,13072,13193,298665,298666,298668,13278,79004,13312,13313,13372,13373,66705,13406,13407,13411,13413,13414,13495,299501,79113,13564,13566,79180,300286,300289,79213,13878,13912,300760,13993,64975,14080,14154,14182,14183,301407,301408,64366,301441,14232,14240,14244,66868,14366,216144,66872,14367,79538,14505,14511,216542,216544,14545,14553,14555,14556,14563,14574,14575,14580,14584,14593,14594,14595,14597,79585,14605,14638,14656,66905,216605,14680,14684,14688,14692,14768,216684,14789,14798,302483,14806,14809,14812,216695,79767,14828,216703,14843,302972,15064,79884,302987,15068,15072,79886,303037,15076,303054,15080,303083,15089,15090,15099,79891,15101,303135,15106,303159,66961,303178,15118,303243,15174,64387,15198,15203,15231,15238,15247,217046,218300,218301,15791,15801,15845,15884,15914,15925,305377,15970,15973,80227,67055,16105,16108,218986,16137,16165,16220,306015,306017,16302,16337,16338,16385,16395,16427,16447,16454,16549,16550,16552,80614,80616,307174,219523,16606,219529,16641,16660,16700,219607,16748,16817,16836,16919,16958,16960,80787,17027,17034,17037,17041,17057,17104,17156,308341,80892,80895,17325,17333,17365,17372,67248,17409,17412,17436,17451,64421,17514,17584,17585,17594,17616,17649,17651,17652,309174,309176,309177,309181,309182,309353,309355,309358,309360,309361,309364,309367,17793,309433,309434,309441,309443,309444,309447,309449,309452,309454,58061,309456,309458,309459,102783,309460,309547,309566,309567,17850
17862,17868,18003,18103,81246,18405,18516,310527,18642,18643,81421,81431,18646,310749,310871,310878,310880,18711,18714,311023,18810,18850,311121,311357,311359,18978,311435,311436,311438,311440,311442,18990,19016,81641,19154,311896,311915,19225,19230,221914,19236,19252,312286,312291,312294,19325,19339,19347,222075,312655,222077,19406,222081,19408,19410,19412,19413,81878,19414,19416,19421,19546,81989,19707,19722,19740,19760,19782,19791,19794,19822,19845,19914,19916,19926,82173,20070,64460,82209,20086,20096,20101,20105,20110,64463,20118,20139,64464,20186,82248,20242,20290,314779,314786,20359,20386,20389,20417,20418,20484,314972,314977,82297,82403,20614,315257,315259,315263,20759,20767,20790,20791,20800,20801,20816,20818,20845,20851,20858,20859,20863,20871,20911,316019,20927,20929,20931,20932,316055,20934,20935,20937,20939,20940,20941,20942,21038,21101,21194,21203,21234,21394,67609,21578,21627,21638,21651,224504,21656,224547,21663,21664,21672,21673,21688,21775,21805,82819,82822,21816,64481,82823,21819,21900,21910,21935,21921,21995,22013,22015,318083,225081,318090,318092,22122,82917,67752,22236,101961,22720,23252,23260,23262,23289,23314,23331,23368,23387,226016,23414,23428,23444,23446,23476,23490,23494,23513,23519,23536,23552,23582,227039,23591,23596,23623,23657,23658,319802,319803,319804,319805,23712,227657,64496,83329,23772,227697,320094,23790,23874,23898,23903,23906,227848,23920,67900,23998,24052,227909,24317,24497,24510,24604,24649,24652,24679,83492,24916,83554,321120,321127,321148,321149,321158,25079,25121,25139,321325,321336,321337,25187,25190,64508,25198,25204,25213,25214,67974,25217,64511,25239,25240,25247,25256,25258,25263,83703,25280,25297,229000,25304,321670,321671,321673,321680,321683,321686,321693,321694,321702,25329,25330,321792,25349,67997,25353,25355,321807,25417,25422,25436,25438,83865,25451,25467,25472,25473,25477,25478,25487,64517,25495,25500,25515,25518,229576,25526,25533,25535,64519,25567,25568,25573,25763,25794,25795,84007,25804,25811,25824,25827,68086,25989,25999,68095,230821,323253,84126,26045,26048,26052,26054,26063,26065,323428,26069,26081,26083,26084,26087,26089,26092,26094,26130,230959,26134,64526,26139,26145,26152,26230,26255,26336,26351,26425,26464,26465,26469,26472,26473,26475,26483,26484,26490,26491,26496,26499,26507,26523,26538,26581,26585,231382,26750,26751,231562,325832,325836,325858,325859,325861,325862,325864,68277,27050,27246,27329,27334,326637,326646,326650,326755,27387,27391,326897,68314,27544,27699,63071,27809,27810,327822,327924,27985,27987,27988,85390,328266,28084,64532,28128,328529,28137,28142,28143,28147,68387,28149,28155,28156,28340,28385,329219,329221,28408,233105,28459,28468,28473,329443,329448,329661,329662,329663,28585,68490,329829,329832,28615,28665,233370,28667,28746,28826,330497,28978,28985,29044,29079,233697,29227,29305,29319,29324,331094,331226,331227,331228,331229,331236,29423,331267,29503,29525,29530,29587,29598,29601,68580,29681,86328,86343,29690,29695,29697,29728,29735,86479,234081,29761,29776,331992,331994,331996,331997,332003,332004,332006,332009,332011,332052,332053,58538,234153,234244,332320,29883,29957,29958,29962,29964,30000,30001,30010,64565,332538,332539,332540,332545,332547,332551,332554,332557,332562,30050,30052,30135,30171,30228,30253,30269,68664,30308,30313,68665,30330,30347,30375,30376,30380,30385,30395,30396,30677,30791,30854,30870,64573,30884,31014,31149,87204,87205,68775,235262,31156,334508,334520,334521,334523,31198,31268,235402,31323,31418,31425,31443,31446,31454,31457,31459,64576,31461,31464,31466,31471,31473,31477,31478,31479,31480,31483,31487,87481,31490,335462,64578,31497,31504,31512,87495,31517,64583,235629,31529,31530,335572,335575,335578,335586,335588,335591,31554,31556,31565,31590,31598,64585,31681,31684,31685,31686,87571,31745,336249,336250,336252,31809,31862,31956,31981,336712,32075,32077,32107,32109,32120,32128,32132,32230,32235,32240,32244,32245,32333,32355,32357,32364,32372,32376,236772,32469,32470,87993,32479,32481,32484,32491,32493,32496,32499,337522,32503,32509,32510,32514,32547,236971,32666,32672,32679,32703,32704,32705,237120,32747,69057,32771,237342,32774,88228,32784,32787,32795,32800,32801,32802,32810,339161,69070,237434,339244,339282,339520,339524,339525,339526,33011,33137,33149,33153,102896,339841,33256,33264,33265,69157,33269,33271,33413,88513,88518,33436,88530,33444,88538,33447,64608,33507,33530,33536,33541,33555,33566,33589,33616,33637,33644,33659,33662,340952,33672,33704,33707,33745,33802,33804,33806,88926,33928,33934,33950,33952,33971,33973,33990,341939,34016,34017,34064,88981,34116,34119,34124,34127,34140,342166,34151,34153,34165,34168,342220,342222,342226,342270,342274,342295,342302,342309,342320,342323,342329,342331,34249,34281,34363,34389,34408,102931,34419,34423,34428,89105,34452,34455,34459,34480,34484,34493,34497,34508,34509,34515,34544,34577,34585,89221,34603,34604,34605,239071,34608,34609,239080,34618,34639,34651,34652,239104,103160,34660,34661,34662,34664,34665,34666,34676,34958,34959,34963,35018,89507,35025,35027,239438,35032,89521,35037,89524,35040,35042,35045,35046,35052,35054,35056,35058,35061,35062,35063,35065,35066,35087,35088,35089,35090,89565,35140,239581,35161,35225,35227,35231,35233,35246,35256,35268,35269,35271,35272,35274,89783,240158,35556,345852,345853,345859,345860,35671,35672,35682,35725,35782,35784,35787,35791,35794,35799,35814,35825,35833,35846,346724,346836,35988,36057,36115,36128,36165,36256,36265,36266,90365,36277,36282,36302,36306,347779,36344,36364,347936,36382,348002,348006,348013,241569,241576,348614,241593,90511,36750,36871,36930,349894,36947,36948,36965,36967,36968,69712,350091,350093,350094,350095,350098,350099,37009,37012,350116,37025,37049,37101,37102,37120,69739,350460,37184,242844,90824,64660,37299,37313,64662,37401,64669,37452,37454,37458,351470,351471,37495,37500,37506,37514,37586,37610,37613,91130,37615,37616,37669,243492,243496,243500,37721,37745,37746,352427,352430,352432,37767,37768,37801,352697,103259,243842,243843,91427,243900,38037,38042,244004,38136,38185,91555,38227,353741,38263,38310,38317,38327,244314,354296,91646,69941,244416,38387,91657,38398,91695,244494,354876,354879,38662,38674,38688,38717,38718,38741,38747,38748,38776,91808,38893,355264,355266,355267,91841,355506,355507
38979,39002,91906,70023,39201,356320,39210,39286,39289,39339,356830,356833,356834,356836,356846,356847,356855,356861,356864,356867,356870,39383,92084,70071,39403,70072,39419,39427,39429,39473,39564,39576,39581,39592,357761,357762,39624,39760,246255,246258,246263,92260,246267,246269,358602,358628,92331,92333,39933,92374,39959,92388,39973,39985,92397,40021,40033,40050,40121,92439,40142,246862,40152,40155,40186,40195,40199,359652,359653,246969,40308,40378,40403,40428,40430,92613,247386,40533,40581,70252,70253,40687,70257,92710,361232,361234,40895,64724,40908,40920,70308,248764,41008,92800,41102,41183,41190,41191,102167,41193,92892,41195,41196,92895,41200,41262,41263,41264,363128,70371,41319,93017,70380,41398,41425,41427,41459,363492,41470,41473,41481,41485,70409,363855,103363,41540,41549,93127,41576,41582,41584,41585,64737,41640,41647,41658,41665,41808,41812,41815,41840,250523,365160,41859,41861,250614,41870,41897,250630,41907,41920,41927,41934,41937,41939,41942,41982,93384,41993,42011,93393,250996,42016,251030,93394,365537,251219,42096,42100,42110,42124,42156,42159,42168,42175,42184,42185,42199,42359,42360,366603,366621,366623,366646,366647,366651,366652,366655,366656,366697,366698,366700,366704,61727,42541,42544,42545,42546,42559,252832,70546,42576,252840,252841,252842,93690,252846,252854,252858,252860,42581,42585,93702,367045,367053,367056,70553,367560,61785,93837,42804,42805,42822,42843,42844,253446,42863,42865,253488,42870,70605,42879,42893,42915,42935,42943,42974,70616,368212,368213,368218,43005,368263,368264,368273,368279,368280,368281,368284,368286,368287,368290,368294,70621,43098,43170,43174,368797,43200,43204,43208,253985,43218,43221,43237,43240,254003,254016,254017,43275,254034,254065,254066,254084,43322,43328,43405,254277,43407,43410,43413,369265,369270,369271,369273,61672,61682,103414,369278,43476,43493,43495,43496,43498,43500,43504,43510,43519,43533,369466,369469,369470,369471,369472,43566,43573,43597,64768,43599,94212,43603,43606,64770,43609,43610,369676,43612,43614,43616,43620,43623,43624,64771,94215,43636,43638,43647,254577,43679,70679,43683,43700,43715,43721,43738,44056,254966,94563,94578,44289,44294,44304,44319,44335,44336,44337,44364,44367,44379,64786,44388,44391,44392,370796,44411,44414,44416,44422,44426,44429,371000,371024,44511,64788,371075,371096,371103,371104,371109,44555,255355,371219,44566,44567,44574,44631,44791,44805,372528,372590,44866,372653,372958,372959,372960,103458,373016,45001,45008,45010,95079,45034,45040,45042,45120,95114,45136,373624,45163,45183,45184,45185,95152,45230,45232,45236,45312,45315,45326,45349,45383,45401,45402,45420,45423,45424,45457,45470,45473,45501,45503,374329,374330,374331,374333,374447,374449,45584,45587,45597,45620,45631,45634,374658,45708,45736,45737,45738,45740,45748,45763,45765,45800,256926,45813,45819,45820,70946,45914,45915,45956,45957,45983,46029,46057,46078,375521,375522,375523,375524,375525,375527,257207,375593,64811,95773,46150,95774,375661,70990,46160,46161,46170,95800,375715,95812,95816,95819,375768,46186,70993,46226,46227,257239,95883,95884,46233,95898,375987,95908,95913,46301,46319,46375,46449,46459,376501,376502,376503,376504,376505,257609,46487,46488,95993,46493,46495,46496,96001,46502,46507,96011,46517,46520,46527,46528,64823,376567,376570,376572,376591,46617,46621,46624,377137,257828,96156,46698,71064,46702,46710,46713,46715,46720,46724,46729,46732,46745,46746,46762,46764,46767,46780,46782,46804,46807,46896,64828,46918,46934,46953,46963,46982,258168,47113,47124,47152,377699,47237,47238,47254,258321,47290,258408,47354,47394,47399,47416,47417,71131,47452,47468,47488,47498,47499,378008,47501,47518,71155,47522,47527,47558,47559,378368,47695,47698,47699,47701,47704,47706,47709,96466,47711,96468,47714,378474,47776,47781,47788,47792,64838,47794,47795,47804,47816,47823,47828,47832,47835,64843,47857,47859,47874,259000,47893,259006,96575,47901,47902,47904,47910,64848,259012,259013,47913,47914,47919,47928,378676,71212,47936,47948,96667,48145,48147,48158,48199,48201,48206,48209,48228,48230,48244,48247,71242,103549,48303,48362,48449,48455,48457,48546,48578,48593,71267,380337,380340,380354,380359,380378,380384,380386,380387,380466,381044,381046,381050,381054,381056,381057,381071,48845,259806,64857,71300,48930,259816,48933,49008,97202,97205,49017,49032,49033,49038,97224,49059,49087,49120,381929,381932,381933,49181,49196,49211,260043,382032,49232,71339,49239,49261,49264,49270,49322,49348,49361,260228,260254,49397,49399,49401,260422,382954,382955,64875,260535,260576,49591,49622,49629,49631,49637,49638,49729,49727,49858,49872,49903,49905,49910,49911,49914,97640,50054,384544,50061,50170,50175,50201,50209,50220,50224,384895,50239,50248,50257,50304,50309,50313,97794,50347,50348,50412,50415,50424,50427,50428,50443,50468,97944,50489,50569,50574,50600,50625,262079,50679,50734,262593,50772,71590,50846,50859,262973,262979,64888,50873,64890,50876,263000,50881,50883,50885,50887,50889,64892,50891,98186,50893,50894,50896,263032,64893,50907,50913,50914,50929,50982,50990,50997,51101,51105,51135,51142,64894,51202,51203,51205,51208,51228,51244,98364,51257,51261,386704,65017,103633,386712,263362,65019,65020,65021,65022,103634,386721,386729,65023,386731,386739,60231,65024,386741,386743,60232,65026,386748,65027,386755,386756,263365,65029,386764,71665,51355,98422,51363,51382,51387,98442,263446,51397,51398,263461,51406,263467,263471,263472,51407,51411,64897,51454,51464,51480,51507,51535,51537,51538,263571,263576,51554,98541,51572,51574,51595,51599,263868,51619,51623,51627,98610,51631,51632,51634,51870,264342,52040,264383,52093,64905,98812,52198,52280,52336,52513,52516,64909,264873,64910,98993,98994,264883,264885,71835,64912,64914,64915,64916,71836,64917,264910,64919,264919,64921,64922,99005,264933,264934,52527,52529,52530,52533,52536,390585,390586,390590,390591,52661,52663,52666,71851,53016,53018,53168,265470,53323,53399,392007,53523,53526,53527,53528,53530,53569,53590,53605,53790,53837,53866,392673,392674,392714,392715,53946,53983,53984,71956,71957,54009,393383,64933,393878,54206,54208,54211,54213,54268,54299,54300,54321,54325,394637,394644,54449,267261,54487,54489,54497,54501,394991,394993,394996,395001,395009,73093,395025,54547,54548,100065,100069,395198,54591,100089,54596,54636,54643,54691,100124,100126,395665,54835
54837,395929,54926,54928,54936,54945,267784,54948,54950,54956,54957,54962,54970,54991,54998,54999,55005,55014,55016,55028,55033,100290,55074,55076,55078,55080,72103,55128,55129,55159,55164,396647,396648,55293,55297,55316,55323,55325,55334,396985,72152,55378,55394,55399,55432,55440,55452,55465,55471,55473,55480,397317,397320,397323,397324,397325,397327,55598,55609,55627,55631,397797,55648,55675,100665,55676,55677,55681,55685,55698,55701,55730,55735,55739,55740,55741,100695,55743,55752,268647,55773,55788,55810,72224,100795,55972,55994,55995,56010,56018,56026,56036,56039,56226,56229,56230,269407,56236,56242,56247,56258,56262,56267,56268,56276,56277,56279,56288,56300,56306,56311,56312,56314,72288,56319,64953,56320,100937,64954,56322,56323,56326,56328,399208,56330,56334,56340,56348,56356,56368,56384,56395,56396,56402,56406,56477,56478,56484,100975,56488,56491,56498,56504,56505,56521,101005,56533,56536,269686,56546,56548,56549,56552,56562,269707,56568,269709,56572,56576,56577,56580,56588,56734,56736,269907,56746,56747,56829,56838,60662,400603,56948,56949,400766,57081,57084,270404,270407,57128,57132,101524,57389,57448,64962,57523,57526,57527,57606,402512,402513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
