species,AccSpeciesID
Artemisia campestris,5176
Artemisia frigida,5187
Artemisia ludoviciana,5208
Artemisia scoparia,5235
Artemisia suksdorfii,5247
Artemisia tridentata,5251
Artemisia vulgaris,5257
Arum italicum,5392
Aruncus dioicus,5395
Asarum canadense,5484
Asarum caudatum,75533
Asarum europaeum,5485
Asclepias curassavica,5498
Asclepias incarnata,5502
Asclepias ovalifolia,5505
Asclepias speciosa,5509
Asclepias syriaca,5512
Asclepias tuberosa,5513
Asclepias verticillata,5514
Asparagus asparagoides,5531
Asparagus officinalis,5540
Aspidotis densa,205212
Asplenium scolopendrium,5693
Asplenium trichomanes,5703
Asplenium viride,5707
Aster tataricus,5773
Astragalus agrestis,64247
Astragalus canadensis,5823
Astragalus cicer,5826
Astragalus flexuosus,5839
Astragalus laxmannii,205686
Astragalus mongholicus,5867
Athyrium americanum,205894
Athyrium asplenioides,205895
Athyrium filix-femina,6006
Atrichum angustatum,284465
Atrichum crispum,284466
Atrichum selwynii,284470
Atrichum undulatum,102515
Atriplex hortensis,6091
Atriplex longipes,6116
Atriplex micrantha,6119
Atriplex nudicaulis,75970
Atriplex patula,6142
Atriplex prostrata,6152
Atriplex rosea,6161
Atriplex subspicata,206011
Atropa belladonna,6192
Aucuba japonica,6215
Aulacomnium acuminatum,284558
Aulacomnium androgynum,284559
Aulacomnium palustre,284561
Aulacomnium turgidum,206062
Avena barbata,6328
Avena fatua,6335
Avena sativa,6342
Axyris amaranthoides,6460
Azolla caroliniana,76094
Azolla filiculoides,6471
Barbarea intermedia,6898
Barbarea orthoceras,76308
Barbarea verna,6902
Barbarea vulgaris,6903
Barbilophozia barbata,285435
Barbilophozia hatcheri,285439
Barbilophozia lycopodioides,285442
Barbula convoluta,285459
Barbula unguiculata,285467
Bartonia paniculata,206730
Bartramia ithyphylla,285682
Bartramia pomiformis,285684
Bartramiopsis lescurii,285688
Bassia scoparia,6962
Bazzania denudata,285805
Bazzania tricrenata,285809
Bazzania trilobata,102570
Beaucarnea recurvata,76381
Beckmannia syzigachne,7061
